Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
15DellinD BetancesBetancesP15‌‌‌,NYY,3,6,3.08,73,0,0,0,12,17,73.0,54,31,25,5,1,28,126,1.12,.201
15JerryJ BlevinsBlevinsP15‌‌‌,NYM,4,2,2.79,73,0,0,0,2,3,42.0,36,14,13,4,1,15,52,1.21,.229
15SamS DysonDysonP15‌‌‌,TEX,3,2,2.43,73,0,0,0,38,43,70.1,63,19,19,5,3,23,55,1.22,.244
15BlakeB TreinenTreinenP15‌‌‌,WSH,4,1,2.28,73,0,0,0,1,3,67.0,51,19,17,5,0,31,63,1.22,.224
20KelvinK HerreraHerreraP20‌‌‌,KC,2,6,2.75,72,0,0,0,12,15,72.0,57,23,22,6,3,12,86,0.96,.214
20RobertoR OsunaOsunaP20‌‌‌,TOR,4,3,2.68,72,0,0,0,36,42,74.0,55,23,22,9,3,14,82,0.93,.206
20RyanR PresslyPresslyP20‌‌‌,MIN,6,7,3.70,72,0,0,0,1,6,75.1,79,34,31,8,2,23,67,1.35,.266
20HunterH StricklandStricklandP20‌‌‌,SF,3,3,3.10,72,0,0,0,3,8,61.0,50,21,21,4,2,19,57,1.13,.221
20CarlosC TorresTorresP20‌‌‌,MIL,3,3,2.73,72,0,0,0,2,5,82.1,65,26,25,8,4,30,78,1.15,.217
25BradB BrachBrachP25‌‌‌,BAL,10,4,2.05,71,0,0,0,2,7,79.0,57,23,18,7,0,25,92,1.04,.201
1KevinK SiegristSiegristP1‌‌‌,STL,7,1,2.17,81,0,0,0,6,10,74.2,53,20,18,4,3,34,90,1.17,.198
2MarkM MelanconMelanconP2‌‌‌,PIT,3,2,2.23,78,0,0,0,51,53,76.2,57,22,19,4,2,14,62,0.93,.207
3JavierJ LópezLopezP3‌‌‌,SF,1,0,1.60,77,0,0,0,0,0,39.1,19,8,7,1,0,16,26,0.89,.145
3TonyT WatsonWatsonP3‌‌‌,PIT,4,1,1.91,77,0,0,0,1,3,75.1,55,17,16,3,4,17,62,0.96,.205
5JeurysJ FamiliaFamiliaP5‌‌‌,NYM,2,2,1.85,76,0,0,0,43,48,78.0,59,16,16,6,2,19,86,1.00,.207
5JaredJ HughesHughesP5‌‌‌,PIT,3,1,2.28,76,0,0,0,0,3,67.0,70,21,17,3,7,19,36,1.33,.282
5SethS ManessManessP5‌‌‌,STL,4,2,4.26,76,0,0,0,3,6,63.1,77,35,30,7,1,13,46,1.42,.307
5WillW SmithSmithP5‌‌‌,MIL,7,2,2.70,76,0,0,0,0,4,63.1,52,23,19,5,1,24,91,1.20,.220
5PedroP StropStropP5‌‌‌,CHC,2,6,2.91,76,0,0,0,3,5,68.0,39,24,22,5,4,29,81,1.00,.167
10SamS DysonDysonP10‌‌‌,TEX,5,4,2.63,75,0,0,0,2,4,75.1,65,26,22,4,4,21,71,1.14,.233
10KevinK JepsenJepsenP10‌‌‌,MIN,3,6,2.33,75,0,0,0,15,20,69.2,52,20,18,5,0,27,59,1.13,.206
12DellinD BetancesBetancesP12‌‌‌,NYY,6,4,1.50,74,0,0,0,9,13,84.0,45,17,14,6,3,40,131,1.01,.157
12BryanB ShawShawP12‌‌‌,CLE,3,3,2.95,74,0,0,0,2,6,64.0,59,24,21,8,1,19,54,1.22,.242
12JustinJ WilsonWilsonP12‌‌‌,NYY,5,0,3.10,74,0,0,0,0,2,61.0,49,21,21,3,2,20,66,1.13,.223
15LuisL AvilánAvilanP15‌‌‌,LAD,2,5,4.05,73,0,0,0,0,3,53.1,48,24,24,6,1,15,49,1.18,.239
15ArquimedesA CamineroCamineroP15‌‌‌,PIT,5,1,3.62,73,0,0,0,0,1,74.2,63,31,30,7,6,29,73,1.23,.224
15GeorgeG KontosKontosP15‌‌‌,SF,4,4,2.33,73,0,0,0,0,2,73.1,57,20,19,9,0,12,44,0.94,.213
15ShawnS TollesonTollesonP15‌‌‌,TEX,6,4,2.99,73,0,0,0,35,37,72.1,66,25,24,9,2,17,76,1.15,.239
19MikeM DunnDunnP19‌‌‌,MIA,2,5,4.50,72,0,0,0,0,3,54.0,46,27,27,6,2,29,65,1.39,.227
19LuisL GarcíaGarciaP19‌‌‌,PHI,4,6,3.51,72,0,0,0,2,4,66.2,72,28,26,4,0,37,63,1.64,.275
19KelvinK HerreraHerreraP19‌‌‌,KC,4,3,2.71,72,0,0,0,0,7,69.2,52,23,21,5,2,26,64,1.12,.206
19JeremyJ JeffressJeffressP19‌‌‌,MIL,5,0,2.65,72,0,0,0,0,4,68.0,64,22,20,5,3,22,67,1.26,.249
19JimJ JohnsonJohnsonP19‌‌‌,LAD,2,6,4.46,72,0,0,0,10,17,66.2,77,36,33,5,5,20,50,1.46,.296
19HectorH RondónRondonP19‌‌‌,CHC,6,4,1.67,72,0,0,0,30,34,70.0,55,19,13,4,3,15,69,1.00,.212
19MarcM RzepczynskiRzepczynskiP19‌‌‌,SD,2,4,5.66,72,0,0,0,0,4,35.0,40,29,22,3,3,14,41,1.54,.292
1BryanB ShawShawP1‌‌‌,CLE,5,5,2.59,80,0,0,0,2,9,76.1,61,26,22,6,2,22,64,1.09,.216
2WillW SmithSmithP2‌‌‌,MIL,1,3,3.70,78,0,0,0,1,6,65.2,62,31,27,6,3,31,86,1.42,.248
2TonyT WatsonWatsonP2‌‌‌,PIT,10,2,1.63,78,0,0,0,2,9,77.1,64,16,14,5,6,15,81,1.02,.232
4CodyC AllenAllenP4‌‌‌,CLE,6,4,2.07,76,0,0,0,24,28,69.2,48,21,16,7,1,26,91,1.06,.194
4JeurysJ FamiliaFamiliaP4‌‌‌,NYM,2,5,2.21,76,0,0,0,5,10,77.1,59,26,19,3,2,32,73,1.18,.209
4JoeJ SmithSmithP4‌‌‌,LAA,7,2,1.81,76,0,0,0,15,19,74.2,45,16,15,4,6,15,68,0.80,.172
