Name,Team,Year,W,L,ERA,Games,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
3AddisonA ReedReedP3‌‌‌,NYM,2016.0,4.0,2.0,1.97,80.0,0.0,0.0,0.0,1.0,5.0,77.2,60.0,18.0,17.0,4.0,0.0,13.0,91.0,0.94,0.21
4RandallR DelgadoDelgadoP4‌‌‌,AZ,2016.0,5.0,2.0,4.44,79.0,0.0,0.0,0.0,0.0,3.0,75.0,77.0,39.0,37.0,8.0,2.0,36.0,68.0,1.51,0.265
4HectorH NerisNerisP4‌‌‌,PHI,2016.0,4.0,4.0,2.58,79.0,0.0,0.0,0.0,2.0,6.0,80.1,59.0,26.0,23.0,9.0,3.0,30.0,102.0,1.11,0.202
6JeurysJ FamiliaFamiliaP6‌‌‌,NYM,2016.0,3.0,4.0,2.55,78.0,0.0,0.0,0.0,51.0,56.0,77.2,63.0,25.0,22.0,1.0,1.0,31.0,84.0,1.21,0.22
7TravisT WoodWoodP7‌‌‌,CHC,2016.0,4.0,0.0,2.95,77.0,0.0,0.0,0.0,0.0,1.0,61.0,45.0,24.0,20.0,8.0,1.0,24.0,47.0,1.13,0.199
8SeunghwanS OhOhP8‌‌‌,STL,2016.0,6.0,3.0,1.92,76.0,0.0,0.0,0.0,19.0,23.0,79.2,55.0,20.0,17.0,5.0,2.0,18.0,103.0,0.92,0.19
9KyleK BarracloughBarracloughP9‌‌‌,MIA,2016.0,6.0,3.0,2.85,75.0,0.0,0.0,0.0,0.0,4.0,72.2,45.0,24.0,23.0,1.0,2.0,44.0,113.0,1.22,0.176
9JoeJ BlantonBlantonP9‌‌‌,LAD,2016.0,7.0,2.0,2.48,75.0,0.0,0.0,0.0,0.0,1.0,80.0,55.0,23.0,22.0,7.0,2.0,26.0,80.0,1.01,0.194
9MarkM MelanconMelanconP9‌‌‌,WSH,2016.0,2.0,2.0,1.64,75.0,0.0,0.0,0.0,47.0,51.0,71.1,52.0,16.0,13.0,3.0,1.0,12.0,65.0,0.9,0.204
9FernandoF SalasSalasP9‌‌‌,NYM,2016.0,3.0,7.0,3.91,75.0,0.0,0.0,0.0,6.0,11.0,73.2,63.0,32.0,32.0,12.0,0.0,19.0,64.0,1.11,0.232
9BryanB ShawShawP9‌‌‌,CLE,2016.0,2.0,5.0,3.24,75.0,0.0,0.0,0.0,1.0,4.0,66.2,56.0,26.0,24.0,8.0,1.0,28.0,69.0,1.26,0.23
9FelipeF VázquezVazquezP9‌‌‌,PIT,2016.0,1.0,6.0,4.09,75.0,0.0,0.0,0.0,1.0,4.0,77.0,66.0,39.0,35.0,7.0,6.0,33.0,92.0,1.29,0.231
15PedroP BáezBaezP15‌‌‌,LAD,2016.0,3.0,2.0,3.04,73.0,0.0,0.0,0.0,0.0,2.0,74.0,52.0,27.0,25.0,11.0,2.0,22.0,83.0,1.0,0.195
15DellinD BetancesBetancesP15‌‌‌,NYY,2016.0,3.0,6.0,3.08,73.0,0.0,0.0,0.0,12.0,17.0,73.0,54.0,31.0,25.0,5.0,1.0,28.0,126.0,1.12,0.201
15JerryJ BlevinsBlevinsP15‌‌‌,NYM,2016.0,4.0,2.0,2.79,73.0,0.0,0.0,0.0,2.0,3.0,42.0,36.0,14.0,13.0,4.0,1.0,15.0,52.0,1.21,0.229
15SamS DysonDysonP15‌‌‌,TEX,2016.0,3.0,2.0,2.43,73.0,0.0,0.0,0.0,38.0,43.0,70.1,63.0,19.0,19.0,5.0,3.0,23.0,55.0,1.22,0.244
15BlakeB TreinenTreinenP15‌‌‌,WSH,2016.0,4.0,1.0,2.28,73.0,0.0,0.0,0.0,1.0,3.0,67.0,51.0,19.0,17.0,5.0,0.0,31.0,63.0,1.22,0.224
20KelvinK HerreraHerreraP20‌‌‌,KC,2016.0,2.0,6.0,2.75,72.0,0.0,0.0,0.0,12.0,15.0,72.0,57.0,23.0,22.0,6.0,3.0,12.0,86.0,0.96,0.214
20RobertoR OsunaOsunaP20‌‌‌,TOR,2016.0,4.0,3.0,2.68,72.0,0.0,0.0,0.0,36.0,42.0,74.0,55.0,23.0,22.0,9.0,3.0,14.0,82.0,0.93,0.206
20RyanR PresslyPresslyP20‌‌‌,MIN,2016.0,6.0,7.0,3.7,72.0,0.0,0.0,0.0,1.0,6.0,75.1,79.0,34.0,31.0,8.0,2.0,23.0,67.0,1.35,0.266
20HunterH StricklandStricklandP20‌‌‌,SF,2016.0,3.0,3.0,3.1,72.0,0.0,0.0,0.0,3.0,8.0,61.0,50.0,21.0,21.0,4.0,2.0,19.0,57.0,1.13,0.221
20CarlosC TorresTorresP20‌‌‌,MIL,2016.0,3.0,3.0,2.73,72.0,0.0,0.0,0.0,2.0,5.0,82.1,65.0,26.0,25.0,8.0,4.0,30.0,78.0,1.15,0.217
25BradB BrachBrachP25‌‌‌,BAL,2016.0,10.0,4.0,2.05,71.0,0.0,0.0,0.0,2.0,7.0,79.0,57.0,23.0,18.0,7.0,0.0,25.0,92.0,1.04,0.201
1KevinK SiegristSiegristP1‌‌‌,STL,2015.0,7.0,1.0,2.17,81.0,0.0,0.0,0.0,6.0,10.0,74.2,53.0,20.0,18.0,4.0,3.0,34.0,90.0,1.17,0.198
2MarkM MelanconMelanconP2‌‌‌,PIT,2015.0,3.0,2.0,2.23,78.0,0.0,0.0,0.0,51.0,53.0,76.2,57.0,22.0,19.0,4.0,2.0,14.0,62.0,0.93,0.207
3JavierJ LópezLopezP3‌‌‌,SF,2015.0,1.0,0.0,1.6,77.0,0.0,0.0,0.0,0.0,0.0,39.1,19.0,8.0,7.0,1.0,0.0,16.0,26.0,0.89,0.145
